"ascending","aufsteigend"
"Base Module","Base Modul"
"Catalog category","Katalogkategorie"
"Configuration","Konfiguration"
"descending","absteigend"
"Developer's Reference","Entwicklerreferenz"
"Documentation","Dokumentation"
"Flush JS/CSS Cache","JS/CSS Cache spülen"
"Flush Magento's Cache","Magentos Cache spülen"
"Flush Storage Cache","Storage Cache spülen"
"from","ab"
"General","Allgemein"
"Please install an i-ways Certified Frontend Theme in order to assure full compatibility with our extensions!","Installieren Sie bitte ein i-ways Zertifiertes Frontend-Theme, um die volle Kompatibilität mit unseren Erweiterungen zu gewährleisten!"
"Settings","Einstellungen"
"Show field limiter","Feldbegrenzer anzeigen"
"Show position in sorting options","Position in Sortieroptionen anzeigen"
"Show title on toolbar","Titel auf der Toolbar anzeigen"
"to","bis"
"Upload","Hochladen"
"Use compact sorter","Kompaktsortierer verwenden"
"Warning","Warnung"
