"Homepage Editor","Startseite-Editor"
"Homepage Module","Homepage Modul"
"Homepage Settings", "Homepage Einstellungen"
"Tile Settings", "Kachel Einstellungen"
"Select Layout", "Layout auswählen"
"none (default page)", "keins (standart Seite)"
"Layout number 1", "Layout Nummer 1"
"Layout number 2", "Layout Nummer 2"
"Layout number 3", "Layout Nummer 3"
"Layout number 4", "Layout Nummer 4"
"First Tile", "Erste Kachel"
"Second Tile", "Zweite Kachel"
"Third Tile", "Dritte Kachel"
"Fourth Tile", "Vierte Kachel"
"Fifth Tile", "Fünfte Kachel"
"Sixth Tile", "Sechste Kachel"
"Image", "Bild"
"Recommended image size: 1240 x 450", "Empfohlene Bildgröße: 1240 x 450"
"Recommended image size: (Layout 1: 390 x 338, Layout 2: 403 x 543, Layout 3: 405 x 645, Layout 4: 407 x 616)", "Empfohlene Bildgröße: (Layout 1: 390 x 338, Layout 2: 403 x 543, Layout 3: 405 x 645, Layout 4: 407 x 616)"
"Recommended image size: (Layout 1: 390 x 338, Layout 2: 830 x 266, Layout 3: 405 x 645, Layout 4: 815 x 261)", "Empfohlene Bildgröße: (Layout 1: 390 x 338, Layout 2: 830 x 266, Layout 3: 405 x 645, Layout 4: 815 x 261)"
"Recommended image size: 391 x 338", "Empfohlene Bildgröße: 391 x 338"
"Recommended image size: 407 x 618", "Empfohlene Bildgröße: 407 x 618"
"Title", "Titel"
"Title Color", "Titelfarbe"
"Title Font Family", "Titel Schriftfamilie"
"no Text", "kein Text"
"top left", "oben links"
"top right", "oben rechts"
"bottom left", "unten links"
"bottom right", "unten rechts"
"middle", "mittig"
"Image Text", "Bildtext"
"Text Color", "Textfarbe"
"Text Font Family", "Text Schriftfamilie"
"Use Button as Link", "Nutze Button als Link"
"Enable Hotsellers", "Hotsellers aktivieren"
"1. Product ID", "1. Produkt ID"
"2. Product ID", "2. Produkt ID"
"3. Product ID", "3. Produkt ID"
"4. Product ID", "4. Produkt ID"
"Select Item", "Produkt auswählen"
